[2026-04-01 12:47:52] [PAGE  ] [admin/admin] [103.215.54.146] GET /leads/index.php | Page loaded
[2026-04-01 12:47:52] [PAGE  ] [admin/admin] [103.215.54.146] GET /leads/pipeline.php | Page loaded
[2026-04-01 12:48:06] [PAGE  ] [admin/admin] [103.215.54.146] GET /leads/create.php | Page loaded
[2026-04-01 12:49:10] [PAGE  ] [admin/admin] [103.215.54.146] POST /leads/create.php | Page loaded
[2026-04-01 12:49:10] [ACTION] [admin/admin] [103.215.54.146] POST /leads/create.php | Created lead: Shibil Ucharakadav (ID: 573)
[2026-04-01 12:49:10] [PAGE  ] [admin/admin] [103.215.54.146] GET /leads/show.php?id=573 | Page loaded
[2026-04-01 12:49:12] [PAGE  ] [admin/admin] [103.215.54.146] GET /leads/edit.php?id=573 | Page loaded
[2026-04-01 12:49:18] [PAGE  ] [admin/admin] [103.215.54.146] POST /leads/edit.php?id=573 | Page loaded
[2026-04-01 12:49:18] [ACTION] [admin/admin] [103.215.54.146] POST /leads/edit.php?id=573 | Updated lead (ID: 573)
[2026-04-01 12:49:18] [PAGE  ] [admin/admin] [103.215.54.146] GET /leads/show.php?id=573 | Page loaded
[2026-04-01 12:50:18] [PAGE  ] [admin/admin] [103.215.54.146] GET /leads/index.php | Page loaded
[2026-04-01 12:50:18] [PAGE  ] [admin/admin] [103.215.54.146] GET /leads/pipeline.php | Page loaded
[2026-04-01 12:50:33] [PAGE  ] [admin/admin] [103.215.54.146] GET /leads/create.php | Page loaded
[2026-04-01 12:51:13] [PAGE  ] [admin/admin] [103.215.54.146] POST /leads/create.php | Page loaded
[2026-04-01 12:51:13] [ACTION] [admin/admin] [103.215.54.146] POST /leads/create.php | Created lead: Bijeesh (ID: 574)
[2026-04-01 12:51:13] [PAGE  ] [admin/admin] [103.215.54.146] GET /leads/show.php?id=574 | Page loaded
[2026-04-01 12:51:15] [PAGE  ] [admin/admin] [103.215.54.146] GET /leads/index.php | Page loaded
[2026-04-01 12:51:15] [PAGE  ] [admin/admin] [103.215.54.146] GET /leads/pipeline.php | Page loaded
[2026-04-01 12:51:23] [PAGE  ] [admin/admin] [103.215.54.146] GET /leads/create.php | Page loaded
[2026-04-01 12:52:14] [PAGE  ] [admin/admin] [103.215.54.146] POST /leads/create.php | Page loaded
[2026-04-01 12:52:14] [ACTION] [admin/admin] [103.215.54.146] POST /leads/create.php | Created lead: Revathi (ID: 575)
[2026-04-01 12:52:14] [PAGE  ] [admin/admin] [103.215.54.146] GET /leads/show.php?id=575 | Page loaded
[2026-04-01 12:52:15] [PAGE  ] [admin/admin] [103.215.54.146] GET /leads/index.php | Page loaded
[2026-04-01 12:52:15] [PAGE  ] [admin/admin] [103.215.54.146] GET /leads/pipeline.php | Page loaded
[2026-04-01 12:52:50] [PAGE  ] [admin/admin] [103.215.54.146] GET /leads/create.php | Page loaded
[2026-04-01 12:53:35] [PAGE  ] [admin/admin] [103.215.54.146] POST /leads/create.php | Page loaded
[2026-04-01 12:53:35] [ACTION] [admin/admin] [103.215.54.146] POST /leads/create.php | Created lead: +919745530919 (ID: 576)
[2026-04-01 12:53:35] [PAGE  ] [admin/admin] [103.215.54.146] GET /leads/show.php?id=576 | Page loaded
[2026-04-01 12:53:37] [PAGE  ] [admin/admin] [103.215.54.146] GET /leads/index.php | Page loaded
[2026-04-01 12:53:37] [PAGE  ] [admin/admin] [103.215.54.146] GET /leads/pipeline.php | Page loaded
[2026-04-01 12:53:52] [PAGE  ] [admin/admin] [103.215.54.146] GET /leads/create.php | Page loaded
[2026-04-01 12:54:29] [PAGE  ] [admin/admin] [103.215.54.146] POST /leads/create.php | Page loaded
[2026-04-01 12:54:29] [ACTION] [admin/admin] [103.215.54.146] POST /leads/create.php | Created lead: Mehrshad (ID: 577)
[2026-04-01 12:54:29] [PAGE  ] [admin/admin] [103.215.54.146] GET /leads/show.php?id=577 | Page loaded
[2026-04-01 12:54:32] [PAGE  ] [admin/admin] [103.215.54.146] GET /leads/edit.php?id=577 | Page loaded
[2026-04-01 12:54:36] [PAGE  ] [admin/admin] [103.215.54.146] POST /leads/edit.php?id=577 | Page loaded
[2026-04-01 12:54:36] [ACTION] [admin/admin] [103.215.54.146] POST /leads/edit.php?id=577 | Updated lead (ID: 577)
[2026-04-01 12:54:36] [PAGE  ] [admin/admin] [103.215.54.146] GET /leads/show.php?id=577 | Page loaded
[2026-04-01 12:54:38] [PAGE  ] [admin/admin] [103.215.54.146] GET /leads/index.php | Page loaded
[2026-04-01 12:54:38] [PAGE  ] [admin/admin] [103.215.54.146] GET /leads/pipeline.php | Page loaded
[2026-04-01 12:54:48] [PAGE  ] [admin/admin] [103.215.54.146] GET /leads/create.php | Page loaded
[2026-04-01 12:56:34] [PAGE  ] [admin/admin] [103.215.54.146] POST /leads/create.php | Page loaded
[2026-04-01 12:56:34] [ACTION] [admin/admin] [103.215.54.146] POST /leads/create.php | Created lead: Audi enqry (ID: 578)
